Hours_Studied,Previous_Scores,Extracurricular,Sleep_Hours,Internet_Access,Attendance,Performance
2,40,No,6,Yes,70,Low
5,60,Yes,7,Yes,80,Medium
8,85,No,8,Yes,90,High
1,35,No,5,No,60,Low
6,75,Yes,7,Yes,85,High
4,55,Yes,6,Yes,78,Medium
3,45,No,7,No,72,Low
7,80,Yes,8,Yes,95,High
5,65,No,6,Yes,82,Medium
2,50,Yes,5,No,68,Low
9,92,No,8,Yes,96,High
4,58,Yes,6,Yes,80,Medium
6,72,No,7,Yes,88,High
3,47,Yes,6,No,70,Low
8,88,Yes,8,Yes,94,High
5,64,No,7,Yes,83,Medium
1,30,No,5,No,55,Low
7,78,Yes,7,Yes,92,High
4,52,Yes,6,Yes,76,Medium
2,42,No,5,No,65,Low
